Bulan;Vendor;Type;Total Biaya;Keterangan;Nopol;Tahun;Vendor_TextMining;Vendor_Clean
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA 2.0 G AT;2380000;TUNE UP;L 0024 AP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA G XW42;2130000;TUNE UP;L 1745 EP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA G XW42;2964650;TUNE UP;L 1744 EP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA 2.0 G AT;1370000;TUNE UP;L 0016 AP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR541 LM 25;2891910;TUNE UP;L 1660 FP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54F TURBO LV;5744186;RUSAK SEDANG;L 1361 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54F TURBO LV;2573225;TUNE UP;L 1349 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;5085800;RUSAK SEDANG;L 9341 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;2914920;TUNE UP;L 9355 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;3010080;TUNE UP;L 9364 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;2593410;TUNE UP;L 9364 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
