Bulan;Vendor;Type;Total Biaya;Keterangan;Nopol;Tahun;Vendor_TextMining;Vendor_Clean
Agustus;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54F TURBO LS;4456570;RUSAK SEDANG;L 1442 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Agustus;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA 2.0 G AT;7760900;RUSAK SEDANG;L 0019 AP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Agustus;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA G XW42;5295500;RUSAK SEDANG;L 1030 BP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Agustus;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);NEW KIJANG INNOVA 2.4 Q A/T DIESEL VENTURER VIN 2019;3570000;RUSAK RINGAN;L 1362 DP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Agustus;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER LM FF VIN;6842440;TUNE UP;L 1703 FP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Agustus;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA 2.0 G AT;5820350;RUSAK SEDANG;L 0021 AP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Agustus;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PHR 54 C BB;2811590;TUNE UP;L 9394 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Agustus;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);INNOVA;4950750;RUSAK SEDANG;L 1588 FP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Agustus;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;7873610;RUSAK SEDANG;L 9349 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Agustus;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54 TURBO PICK UP;12436196;RUSAK BERAT;L 9282 NP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Agustus;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);TBR54 TURBO LM;8066464;RUSAK SEDANG;L 1906 BP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO)
Agustus;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54F TURBO LV;9005186;RUSAK SEDANG;L 1361 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
September;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);TBR54F TURBO LM;8916975;RUSAK SEDANG;L 1895 BP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO)
September;PT SRIKANDI DIAMOND INDAH MOTORS;MITSUBISHI.PAJERO SPORT 2.5;7348770;RUSAK SEDANG;L 0010 AP;2022;PT SRIKANDI DIAMOND INDAH MOTORS;PT SRIKANDI DIAMOND INDAH MOTORS
